name,format,download_url,downloads,date_text,topic_name,category,post_url,post#
#MTF_CCI,mq4,https://www.forexfactory.com/attachment/file/2200152?d=1487888136,799,"Feb 24, 2017 4:16am|Edited                    4:30am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593067#post9593067,496
#MTF_Juice,mq4,https://www.forexfactory.com/attachment/file/2200153?d=1487888136,811,"Feb 24, 2017 4:16am|Edited                    4:30am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593067#post9593067,496
#MTF_LPB,mq4,https://www.forexfactory.com/attachment/file/2200155?d=1487888137,787,"Feb 24, 2017 4:16am|Edited                    4:30am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593067#post9593067,496
#MTF_MACD,mq4,https://www.forexfactory.com/attachment/file/2200158?d=1487888137,847,"Feb 24, 2017 4:16am|Edited                    4:30am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593067#post9593067,496
#MTF_MovingAverage,mq4,https://www.forexfactory.com/attachment/file/2200161?d=1487888137,829,"Feb 24, 2017 4:16am|Edited                    4:30am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593067#post9593067,496
#MTF_Price,mq4,https://www.forexfactory.com/attachment/file/2200164?d=1487888138,833,"Feb 24, 2017 4:16am|Edited                    4:30am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593067#post9593067,496
#MTF_PSar,mq4,https://www.forexfactory.com/attachment/file/2200167?d=1487888138,827,"Feb 24, 2017 4:16am|Edited                    4:30am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593067#post9593067,496
#MTF_RSI,mq4,https://www.forexfactory.com/attachment/file/2200179?d=1487889105,779,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
#MTF_Stochastic,mq4,https://www.forexfactory.com/attachment/file/2200182?d=1487889105,780,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
_iGDR_ZZ,mq4,https://www.forexfactory.com/attachment/file/2200185?d=1487889105,912,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
4MAs Trend,mq4,https://www.forexfactory.com/attachment/file/2200186?d=1487889106,882,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
4X Pip Snager Filter M5 Day Trader,mq4,https://www.forexfactory.com/attachment/file/2200187?d=1487889106,956,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
a_candle,mq4,https://www.forexfactory.com/attachment/file/2200190?d=1487889106,735,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
Accelerator,mq4,https://www.forexfactory.com/attachment/file/2200193?d=1487889107,724,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
Accumulation,mq4,https://www.forexfactory.com/attachment/file/2200195?d=1487889107,714,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
Adaptive RSI,mq4,https://www.forexfactory.com/attachment/file/2200198?d=1487889107,756,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
adaptive_rsi_1,mq4,https://www.forexfactory.com/attachment/file/2200201?d=1487889108,759,"Feb 24, 2017 4:32am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593105#post9593105,497
adxbarssmzlhs,mq4,https://www.forexfactory.com/attachment/file/2200235?d=1487889594,781,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
allmacd_v21,mq4,https://www.forexfactory.com/attachment/file/2200238?d=1487889594,815,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
AO_4colors,mq4,https://www.forexfactory.com/attachment/file/2200239?d=1487889595,785,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
AOAC with Alerts11,mq4,https://www.forexfactory.com/attachment/file/2200240?d=1487889595,865,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
aodivergence,mq4,https://www.forexfactory.com/attachment/file/2200243?d=1487889596,828,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
asikinbantam,mq4,https://www.forexfactory.com/attachment/file/2200244?d=1487889596,774,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
ASO,mq4,https://www.forexfactory.com/attachment/file/2200246?d=1487889596,786,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
ATR in PipsV2,mq4,https://www.forexfactory.com/attachment/file/2200249?d=1487889597,861,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
ATR,mq4,https://www.forexfactory.com/attachment/file/2200251?d=1487889597,759,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
awesome_ao_mtf,mq4,https://www.forexfactory.com/attachment/file/2200252?d=1487889597,823,"Feb 24, 2017 4:40am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9593122#post9593122,498
RenkoLiveChart_v34,ex4,https://www.forexfactory.com/attachment/file/2207631?d=1488352587,1122,"Mar 1, 2017 1:16pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9611766#post9611766,502
#-Spread-Ticks-more,mq4,https://www.forexfactory.com/attachment/file/2226272?d=1489398607,885,"Mar 13, 2017 3:51pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9657560#post9657560,505
Candle length,mq4,https://www.forexfactory.com/attachment/file/2226334?d=1489400370,1394,"Mar 13, 2017 4:19pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/9657717#post9657717,507
Color Levels_PhoMo2,ex4,https://www.forexfactory.com/attachment/file/2392731?d=1499802740,1285,"Jul 12, 2017 1:54am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10075146#post10075146,517
AutoGann,mq4,https://www.forexfactory.com/attachment/file/2690896?d=1519510352,991,"Feb 25, 2018 4:23am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10812744#post10812744,543
TPOChart,zip,https://www.forexfactory.com/attachment/file/2690936?d=1519523902,1274,"Feb 25, 2018 7:59am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10812890#post10812890,547
riv_ay-tpochartv102-6,rar,https://www.forexfactory.com/attachment/file/2690954?d=1519527496,1198,"Feb 25, 2018 8:58am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10812942#post10812942,550
TicksSeparateVolume,mq4,https://www.forexfactory.com/attachment/file/2691222?d=1519567871,1056,"Feb 25, 2018 8:11pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10813520#post10813520,553
TicksSeparateVolume,ex4,https://www.forexfactory.com/attachment/file/2691229?d=1519567945,947,"Feb 25, 2018 8:11pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10813520#post10813520,553
michel,mq4,https://www.forexfactory.com/attachment/file/2693569?d=1519711635,793,"Feb 27, 2018 12:18pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10819059#post10819059,558
TMA+CG mladen2,ex4,https://www.forexfactory.com/attachment/file/2719112?d=1521120411,1194,"Mar 15, 2018 7:26pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10875576#post10875576,565
FXTT_StrategyChecklist,mq4,https://www.forexfactory.com/attachment/file/2723635?d=1521412019,1361,"Mar 19, 2018 4:29am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10884216#post10884216,568
Price MA Cross Alert,ex4,https://www.forexfactory.com/attachment/file/2752671?d=1523265949,817,"Apr 9, 2018 3:26pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10946954#post10946954,572
Price MA Cross Alert,mq4,https://www.forexfactory.com/attachment/file/2752672?d=1523265950,897,"Apr 9, 2018 3:26pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10946954#post10946954,572
MA_Cross_Alert_Once_b,ex4,https://www.forexfactory.com/attachment/file/2752675?d=1523266028,844,"Apr 9, 2018 3:26pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10946954#post10946954,572
MA_Cross_Alert_Once_b,mq4,https://www.forexfactory.com/attachment/file/2752678?d=1523266028,900,"Apr 9, 2018 3:26pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10946954#post10946954,572
Ind and temp,rar,https://www.forexfactory.com/attachment/file/2765784?d=1524054361,2802,"Apr 18, 2018 6:26pm",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/10976304#post10976304,575
Alerter v1,ex4,https://www.forexfactory.com/attachment/file/2777853?d=1524772395,941,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
Alerter v1,mq4,https://www.forexfactory.com/attachment/file/2777855?d=1524772396,1047,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
Alerter,ex4,https://www.forexfactory.com/attachment/file/2777856?d=1524772396,838,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
Alerter,mq4,https://www.forexfactory.com/attachment/file/2777857?d=1524772397,983,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
